Wavelength,Udid_Dal00000.asd,Udid_Dal00001.asd,Udid_Dal00002.asd,Udid_Dal00003.asd,Udid_Dal00004.asd,Udid_Dal00005.asd,Udid_Dal00006.asd,Udid_Dal00007.asd,Udid_Dal00008.asd,Udid_Dal00009.asd
484,0.440116696,0.440226402,0.439862747,0.43991652,0.440661672,0.440083942,0.440105971,0.440053081,0.439992142,0.440106429
485,0.441241383,0.441799461,0.44146086,0.441220589,0.44158398,0.441469023,0.441129392,0.441456178,0.441423298,0.441369809
486,0.442404206,0.443156073,0.443022998,0.442640508,0.442523928,0.442613883,0.44257766,0.443102366,0.443208602,0.44277214
487,0.444287545,0.444303559,0.444617083,0.444722993,0.444009667,0.444133506,0.444456276,0.444426623,0.444993432,0.444288933
488,0.445321125,0.445330102,0.445585875,0.445683126,0.445172211,0.445478941,0.445510267,0.445866379,0.445635006,0.445482405
489,0.446420434,0.446865008,0.446576373,0.446715752,0.446570797,0.447024787,0.44686208,0.44737923,0.446756522,0.446835463
490,0.448051115,0.448778017,0.447984463,0.448273433,0.448274747,0.448739515,0.448818263,0.448778032,0.448800094,0.44842718
491,0.449532491,0.449589699,0.449591458,0.449042549,0.449286395,0.449752371,0.44994995,0.44966262,0.449820091,0.449503878
492,0.451030371,0.45088062,0.451189953,0.450580635,0.450638695,0.450947279,0.451040477,0.451062443,0.451035537,0.450693216
493,0.452221935,0.452505506,0.452597861,0.452318004,0.452189519,0.452344371,0.452140901,0.452572479,0.452475414,0.452046274
494,0.452893373,0.453837543,0.453669417,0.453316165,0.453506416,0.453667274,0.453183355,0.453547752,0.453816557,0.453427788
495,0.454085451,0.454898937,0.454241852,0.454557723,0.45482826,0.454705003,0.454701537,0.454772878,0.454952307,0.454826578
496,0.455373594,0.455930279,0.455414159,0.455816191,0.455851785,0.45569421,0.455902967,0.455979668,0.455968014,0.456020691
497,0.45655356,0.457002837,0.457142866,0.457014591,0.456765565,0.456807965,0.456855078,0.457150584,0.457029546,0.456944564
498,0.457741557,0.457996216,0.458151079,0.458287761,0.458273145,0.458117591,0.458564102,0.458575989,0.458360177,0.457713741
499,0.459321935,0.459087101,0.459336463,0.459105714,0.459557074,0.4594694,0.45959887,0.459849202,0.45951121,0.458951121
500,0.460766457,0.460464599,0.460614769,0.459950676,0.460599103,0.460720878,0.460346494,0.460989154,0.460555747,0.460330978
501,0.461675931,0.462059404,0.46173541,0.46125055,0.461569548,0.461756706,0.46145556,0.462087571,0.461650681,0.461451653
502,0.462743261,0.462961121,0.462578909,0.462473265,0.462549996,0.462416551,0.463028079,0.463087335,0.462781449,0.462442284
503,0.463957441,0.464022856,0.463714495,0.463803462,0.463914128,0.46368409,0.464448224,0.464316701,0.464059921,0.463494762
504,0.465086919,0.465341652,0.465005762,0.465026233,0.4653736,0.465312625,0.465436013,0.465530315,0.465310819,0.464629542
505,0.465812512,0.466455152,0.465874709,0.465738074,0.466237641,0.466258035,0.466044832,0.466179237,0.466210729,0.465739162
506,0.466913219,0.466968067,0.466954951,0.466907753,0.467060289,0.467180335,0.467407456,0.467413173,0.467376218,0.4668306
507,0.468111531,0.467784412,0.467986574,0.468394709,0.468007387,0.468103805,0.468537386,0.46858382,0.468428767,0.467940721
508,0.469123778,0.46929723,0.468893982,0.469743015,0.469074375,0.468992465,0.468984411,0.46923919,0.469162702,0.469054894
509,0.470041033,0.470377128,0.470433334,0.470113502,0.470045746,0.469889223,0.470296681,0.469946851,0.470100584,0.470051133
510,0.470679173,0.471074462,0.471158643,0.470697001,0.470775224,0.470709991,0.471143315,0.470790505,0.470917449,0.470758585
511,0.471346603,0.471723243,0.471406845,0.471662928,0.47146303,0.471489374,0.471679698,0.471576913,0.471762256,0.471402145
512,0.472455421,0.472733344,0.4722002,0.472710072,0.472409118,0.472341433,0.472614778,0.472102611,0.472881809,0.472324321
513,0.473477388,0.47376268,0.473212043,0.473715269,0.473337539,0.473548449,0.473718265,0.473190334,0.473697011,0.473248385
514,0.474391387,0.474742533,0.474285614,0.474533,0.474253803,0.474677376,0.474560487,0.474387739,0.47452316,0.474320903
515,0.47518074,0.475561853,0.475259498,0.47524231,0.475182583,0.475521821,0.475063942,0.475362803,0.475440985,0.475463151
516,0.475743229,0.475978461,0.475945051,0.476256948,0.476152461,0.47629551,0.475667024,0.476134009,0.476057983,0.476207437
517,0.476618042,0.476934051,0.476719688,0.477127141,0.47693821,0.477206668,0.476750514,0.476958209,0.476826585,0.477110465
518,0.477547115,0.47787908,0.477576752,0.477689852,0.477656129,0.477983292,0.477919516,0.477724803,0.477585438,0.477882
519,0.47816515,0.478177549,0.478393776,0.478016755,0.478478553,0.478378751,0.478666548,0.478320157,0.478138151,0.478234743
520,0.478819915,0.479058523,0.479117867,0.4787915,0.479358952,0.478970773,0.479241208,0.479203124,0.479033438,0.47911912
521,0.479845865,0.480077484,0.479999086,0.479630154,0.479979162,0.479882684,0.479905427,0.480039919,0.480012492,0.480053093
522,0.480954256,0.480989816,0.480941715,0.480414972,0.480452849,0.480926722,0.480711155,0.480808073,0.480925792,0.480806787
523,0.481299671,0.481825457,0.481522374,0.481335133,0.481310348,0.481654646,0.481507136,0.481811554,0.481769081,0.481472258
524,0.482127256,0.482680892,0.482188125,0.482358796,0.482334642,0.482448521,0.482344949,0.482678178,0.482394431,0.482532972
525,0.483104731,0.483573309,0.483068549,0.483272077,0.483249386,0.483176716,0.483240576,0.483386903,0.483178169,0.483509354
526,0.483817837,0.484404018,0.484103399,0.483958041,0.483940312,0.483801777,0.484141082,0.484057893,0.484314018,0.484068488
527,0.484674354,0.484680737,0.484888636,0.484655797,0.484815909,0.484923705,0.484747615,0.48498502,0.48510814,0.484981616
528,0.485686199,0.485546198,0.4856941,0.485643934,0.485706728,0.486002115,0.485699382,0.485936994,0.485839364,0.485864824
529,0.48663687,0.486817499,0.486521542,0.486704774,0.486596372,0.486822502,0.486729236,0.486750013,0.486660698,0.486694812
530,0.487215798,0.487511772,0.487217089,0.487351632,0.487534466,0.487424945,0.487083423,0.487353757,0.487602565,0.487635453
531,0.487898851,0.488260423,0.487984697,0.488098921,0.488102217,0.48811947,0.48775699,0.488252377,0.48825862,0.488133371
532,0.48879582,0.489034434,0.488772932,0.488813609,0.488788304,0.489001866,0.488592173,0.489046046,0.488776807,0.488597561
533,0.489770168,0.489742339,0.489564131,0.489449649,0.489796047,0.489973304,0.489419196,0.489567978,0.489427773,0.489366216
534,0.490253342,0.490332403,0.490548032,0.490379643,0.49045297,0.490631471,0.490476722,0.490454177,0.490660424,0.490396874
535,0.490967697,0.491079496,0.491191418,0.491177362,0.491105941,0.491026272,0.491163192,0.491178976,0.49139825,0.491162466
536,0.491937573,0.491966723,0.491809689,0.491912564,0.491972277,0.491638235,0.491732492,0.49193129,0.491941591,0.491885762
537,0.492892349,0.492865134,0.492924188,0.492822106,0.493113153,0.492931522,0.492696289,0.493057501,0.493025061,0.492999596
538,0.493692365,0.493848806,0.493771997,0.493769436,0.493807119,0.493853927,0.49358338,0.493837322,0.494002811,0.493969757
539,0.494553107,0.494733047,0.494621959,0.494641556,0.494601654,0.494651544,0.494527977,0.494664803,0.494857818,0.494689316
540,0.495598527,0.495590172,0.49565852,0.495486129,0.495697926,0.495568915,0.495636377,0.495762348,0.49569915,0.495377043
541,0.496791922,0.496893764,0.496834232,0.496573023,0.496649988,0.496684639,0.496925833,0.496995245,0.496733749,0.496659752
542,0.497906919,0.498065295,0.497887529,0.497754608,0.497910808,0.497853044,0.497926241,0.497995772,0.497871033,0.497922309
543,0.498895582,0.499135208,0.498902045,0.498943495,0.499168223,0.49897485,0.498845884,0.498965152,0.498986918,0.499093332
544,0.499851423,0.500272498,0.500032697,0.500072774,0.500080955,0.50002339,0.50000235,0.500171742,0.500031831,0.500234936
