Wavelength,Bel-fruit00000.asd,Bel-fruit00001.asd,Bel-fruit00002.asd,Bel-fruit00003.asd,Bel-fruit00004.asd,Bel-fruit00005.asd,Bel-fruit00006.asd,Bel-fruit00007.asd,Bel-fruit00008.asd,Bel-fruit00009.asd
420,0.194882951,0.195971555,0.195789733,0.197745569,0.193678719,0.19532343,0.196801026,0.195649583,0.192902895,0.19380608
421,0.196624606,0.198705203,0.198442403,0.200272355,0.196356873,0.197054906,0.198779044,0.196723144,0.196178824,0.196264519
422,0.199409489,0.201516739,0.200642436,0.20037373,0.198143606,0.198466328,0.198655273,0.199969465,0.198412482,0.199530186
423,0.202995328,0.203700332,0.200620702,0.203003672,0.202280027,0.200550434,0.201584158,0.202413524,0.201952768,0.202719354
424,0.205759413,0.205864322,0.202959646,0.205441008,0.204673181,0.203122052,0.205360601,0.203818815,0.203254614,0.203751255
425,0.208150614,0.208184712,0.206886738,0.207397712,0.206097155,0.206136223,0.208528878,0.205992872,0.204671538,0.204987387
426,0.210892656,0.2106585,0.209771298,0.209325366,0.208697705,0.209205552,0.210172936,0.210359668,0.209294402,0.209117779
427,0.210888222,0.213170911,0.210517858,0.210731378,0.211584377,0.209516076,0.211266329,0.210642663,0.21106319,0.210141242
428,0.212810335,0.215785706,0.213146514,0.214027619,0.213502804,0.211958266,0.213016392,0.212920234,0.213090177,0.211842161
429,0.216935963,0.217889254,0.21719917,0.218127628,0.21491251,0.21647275,0.21567921,0.217531595,0.216082126,0.214939599
430,0.217959564,0.217996255,0.216690501,0.21773499,0.218170363,0.216776245,0.218409384,0.217289699,0.217200495,0.215833908
431,0.219328043,0.219571852,0.218772126,0.218540319,0.219275918,0.217871491,0.220119789,0.219401955,0.219010055,0.217893651
432,0.221136128,0.221968764,0.222027194,0.220436062,0.220146051,0.220314825,0.221604589,0.22173303,0.2216802,0.220462482
433,0.222928347,0.224010544,0.224005969,0.222294976,0.22279402,0.223149857,0.223594005,0.221942306,0.224454653,0.222329106
434,0.225251505,0.226547134,0.226052444,0.224625406,0.224571217,0.223938345,0.224985175,0.22471548,0.225528509,0.223614107
435,0.2264282,0.227954551,0.227839581,0.226436535,0.227044783,0.225453357,0.225485199,0.227780301,0.225972059,0.225677838
436,0.22731211,0.228825713,0.229201478,0.228211456,0.229442956,0.227586462,0.226581642,0.229636554,0.227382225,0.228385739
437,0.230211535,0.231115456,0.23018425,0.231233712,0.229637046,0.228369414,0.230507434,0.229711511,0.231236892,0.230501318
