Wavelength,teth_ambada00000.asd,teth_ambada00001.asd,teth_ambada00002.asd,teth_ambada00003.asd,teth_ambada00004.asd,teth_ambada00005.asd,teth_ambada00006.asd,teth_ambada00007.asd,teth_ambada00008.asd,teth_ambada00009.asd
385,0.181638611,0.181308075,0.184343206,0.182611775,0.18432209,0.183430745,0.185526859,0.181560983,0.186605228,0.188447892
386,0.18321958,0.182105341,0.185572059,0.178064091,0.184311301,0.183834887,0.183612613,0.180692269,0.18114695,0.188076259
387,0.181129441,0.182884166,0.185080819,0.178874949,0.187237058,0.18291465,0.185659603,0.182064039,0.18421329,0.184978532
388,0.177682881,0.183748339,0.184441834,0.182783579,0.185759987,0.18061793,0.185476448,0.184228492,0.186904839,0.181520485
389,0.17610489,0.183989838,0.183688303,0.184502074,0.182829931,0.181251801,0.18268686,0.185962228,0.187219278,0.180736133
390,0.178887724,0.182962416,0.182352206,0.179637591,0.184452754,0.188056108,0.179921494,0.185859714,0.186582365,0.184460109
391,0.181213261,0.182060722,0.180483458,0.178282347,0.186284147,0.185570793,0.182323626,0.179908619,0.189003082,0.185123385
392,0.180993486,0.181159116,0.180076081,0.180218578,0.186863294,0.180486266,0.184098508,0.17929817,0.191105891,0.185110885
393,0.178233397,0.181107174,0.181477882,0.18272968,0.186612501,0.178876832,0.182599135,0.184741188,0.19089299,0.185749231
394,0.174829576,0.184156115,0.183148098,0.181466114,0.187880226,0.183916796,0.179823327,0.183701095,0.188712847,0.186153283
395,0.174392944,0.182266877,0.178679152,0.177946987,0.184903419,0.181079261,0.179279692,0.180097297,0.183924574,0.182469084
396,0.174999789,0.179163068,0.175349541,0.175503694,0.181547425,0.177390455,0.181002546,0.177054347,0.180125161,0.179529514
397,0.17464259,0.17887793,0.178596868,0.176268401,0.181073438,0.1803354,0.182734494,0.176658162,0.180040931,0.181110128
398,0.176665767,0.17585885,0.175511679,0.176985439,0.175746641,0.180301797,0.177776514,0.177981329,0.18038622,0.180163937
399,0.177141235,0.173072978,0.175467673,0.178517583,0.174854604,0.177053833,0.174904553,0.178833498,0.181731097,0.178793825
400,0.175166331,0.172774783,0.177492914,0.178971023,0.17736705,0.174491081,0.175173482,0.177046756,0.181712671,0.178133203
401,0.172512363,0.176071068,0.174332069,0.175472812,0.175846382,0.178208985,0.174498705,0.17163696,0.177013897,0.178396937
402,0.176068724,0.178265997,0.175509745,0.177519644,0.177955902,0.179993693,0.176915953,0.174836829,0.177783003,0.178129644
403,0.178283273,0.178737094,0.176100758,0.178569486,0.179744265,0.176668202,0.17768841,0.177850323,0.180277305,0.176441612
404,0.175114248,0.178025576,0.172880208,0.174973907,0.178531396,0.170125952,0.17491032,0.175533281,0.18024889,0.174121708
405,0.173150663,0.177909788,0.169128498,0.172884553,0.177018415,0.170384193,0.174555734,0.176110077,0.175819626,0.175251302
406,0.172785475,0.174550897,0.171142666,0.173032649,0.176863582,0.172190801,0.173264059,0.174521533,0.1748419,0.174979398
407,0.172120445,0.170047426,0.174266151,0.174817382,0.176816576,0.173228071,0.171289908,0.172095396,0.176161273,0.173444469
408,0.16929259,0.16834555,0.171827681,0.176198468,0.17508228,0.17277534,0.170192954,0.1718567,0.175715412,0.172529554
409,0.168850262,0.170309148,0.171969822,0.171021814,0.173921251,0.174377831,0.171776584,0.172967225,0.173893355,0.172836504
410,0.170017882,0.171458282,0.172665437,0.169061283,0.173444167,0.174069173,0.17148851,0.174071839,0.172726083,0.173286384
411,0.171433603,0.170541055,0.171780472,0.172374258,0.173598975,0.171599228,0.169097376,0.174223191,0.172799038,0.173297519
